,Date,State,Cases
210,2020-09-23,Alaska,81.71428571428571
211,2020-09-24,Alaska,85.0
212,2020-09-25,Alaska,87.14285714285714
213,2020-09-26,Alaska,91.14285714285714
214,2020-09-27,Alaska,94.14285714285714
215,2020-09-28,Alaska,100.71428571428571
216,2020-09-29,Alaska,112.28571428571429
217,2020-09-30,Alaska,117.14285714285714
218,2020-10-01,Alaska,116.57142857142857
219,2020-10-02,Alaska,117.0
220,2020-10-03,Alaska,121.42857142857143
221,2020-10-04,Alaska,132.0
222,2020-02-26,Alabama,0.0
223,2020-02-27,Alabama,0.0
224,2020-02-28,Alabama,0.0
225,2020-02-29,Alabama,0.0
226,2020-03-01,Alabama,0.0
227,2020-03-02,Alabama,0.0
228,2020-03-03,Alabama,0.0
229,2020-03-04,Alabama,0.0
230,2020-03-05,Alabama,0.0
231,2020-03-06,Alabama,0.0
232,2020-03-07,Alabama,0.0
233,2020-03-08,Alabama,0.0
234,2020-03-09,Alabama,0.0
235,2020-03-10,Alabama,0.0
236,2020-03-11,Alabama,0.0
237,2020-03-12,Alabama,0.0
238,2020-03-13,Alabama,0.7142857142857143
239,2020-03-14,Alabama,1.0
240,2020-03-15,Alabama,1.5714285714285714
241,2020-03-16,Alabama,4.142857142857143
242,2020-03-17,Alabama,5.571428571428571
243,2020-03-18,Alabama,7.285714285714286
244,2020-03-19,Alabama,11.142857142857142
245,2020-03-20,Alabama,14.428571428571429
246,2020-03-21,Alabama,17.714285714285715
247,2020-03-22,Alabama,20.857142857142858
248,2020-03-23,Alabama,23.857142857142858
249,2020-03-24,Alabama,29.0
250,2020-03-25,Alabama,47.142857142857146
251,2020-03-26,Alabama,62.714285714285715
252,2020-03-27,Alabama,68.71428571428571
253,2020-03-28,Alabama,80.42857142857143
254,2020-03-29,Alabama,95.42857142857143
255,2020-03-30,Alabama,100.42857142857143
256,2020-03-31,Alabama,106.42857142857143
257,2020-04-01,Alabama,97.0
258,2020-04-02,Alabama,102.28571428571429
259,2020-04-03,Alabama,129.71428571428572
260,2020-04-04,Alabama,131.42857142857142
261,2020-04-05,Alabama,134.28571428571428
262,2020-04-06,Alabama,150.42857142857142
263,2020-04-07,Alabama,168.85714285714286
264,2020-04-08,Alabama,181.14285714285714
265,2020-04-09,Alabama,210.0
266,2020-04-10,Alabama,207.42857142857142
267,2020-04-11,Alabama,229.0
268,2020-04-12,Alabama,256.85714285714283
269,2020-04-13,Alabama,254.57142857142858
270,2020-04-14,Alabama,254.85714285714286
271,2020-04-15,Alabama,249.57142857142858
272,2020-04-16,Alabama,234.57142857142858
273,2020-04-17,Alabama,232.0
274,2020-04-18,Alabama,213.57142857142858
275,2020-04-19,Alabama,189.28571428571428
276,2020-04-20,Alabama,192.14285714285714
277,2020-04-21,Alabama,194.85714285714286
278,2020-04-22,Alabama,216.85714285714286
279,2020-04-23,Alabama,212.42857142857142
280,2020-04-24,Alabama,207.85714285714286
281,2020-04-25,Alabama,187.71428571428572
282,2020-04-26,Alabama,219.0
283,2020-04-27,Alabama,208.57142857142858
284,2020-04-28,Alabama,204.71428571428572
285,2020-04-29,Alabama,188.42857142857142
286,2020-04-30,Alabama,179.42857142857142
287,2020-05-01,Alabama,181.14285714285714
288,2020-05-02,Alabama,226.42857142857142
289,2020-05-03,Alabama,209.57142857142858
290,2020-05-04,Alabama,224.71428571428572
291,2020-05-05,Alabama,241.0
292,2020-05-06,Alabama,254.14285714285714
293,2020-05-07,Alabama,279.7142857142857
294,2020-05-08,Alabama,298.7142857142857
295,2020-05-09,Alabama,293.85714285714283
296,2020-05-10,Alabama,285.85714285714283
297,2020-05-11,Alabama,293.14285714285717
298,2020-05-12,Alabama,289.57142857142856
299,2020-05-13,Alabama,287.0
300,2020-05-14,Alabama,293.57142857142856
301,2020-05-15,Alabama,284.0
302,2020-05-16,Alabama,286.57142857142856
303,2020-05-17,Alabama,268.85714285714283
304,2020-05-18,Alabama,274.57142857142856
305,2020-05-19,Alabama,273.14285714285717
306,2020-05-20,Alabama,336.0
307,2020-05-21,Alabama,312.42857142857144
308,2020-05-22,Alabama,328.14285714285717
309,2020-05-23,Alabama,349.0
310,2020-05-24,Alabama,386.7142857142857
311,2020-05-25,Alabama,414.2857142857143
312,2020-05-26,Alabama,467.7142857142857
313,2020-05-27,Alabama,425.7142857142857
314,2020-05-28,Alabama,463.14285714285717
315,2020-05-29,Alabama,480.14285714285717
316,2020-05-30,Alabama,463.14285714285717
317,2020-05-31,Alabama,496.2857142857143
318,2020-06-01,Alabama,520.5714285714286
319,2020-06-02,Alabama,445.14285714285717
320,2020-06-03,Alabama,402.7142857142857
321,2020-06-04,Alabama,363.14285714285717
322,2020-06-05,Alabama,336.57142857142856
323,2020-06-06,Alabama,383.42857142857144
324,2020-06-07,Alabama,364.0
325,2020-06-08,Alabama,327.85714285714283
326,2020-06-09,Alabama,379.42857142857144
327,2020-06-10,Alabama,448.2857142857143
328,2020-06-11,Alabama,539.0
329,2020-06-12,Alabama,617.5714285714286
330,2020-06-13,Alabama,651.1428571428571
331,2020-06-14,Alabama,730.7142857142857
332,2020-06-15,Alabama,763.8571428571429
333,2020-06-16,Alabama,784.2857142857143
334,2020-06-17,Alabama,760.4285714285714
335,2020-06-18,Alabama,765.8571428571429
336,2020-06-19,Alabama,756.0
337,2020-06-20,Alabama,706.8571428571429
338,2020-06-21,Alabama,629.4285714285714
339,2020-06-22,Alabama,597.4285714285714
340,2020-06-23,Alabama,597.8571428571429
341,2020-06-24,Alabama,678.8571428571429
342,2020-06-25,Alabama,714.2857142857143
343,2020-06-26,Alabama,740.1428571428571
344,2020-06-27,Alabama,790.5714285714286
345,2020-06-28,Alabama,774.2857142857143
346,2020-06-29,Alabama,960.1428571428571
347,2020-06-30,Alabama,992.5714285714286
348,2020-07-01,Alabama,985.4285714285714
349,2020-07-02,Alabama,986.4285714285714
350,2020-07-03,Alabama,1097.4285714285713
